Movie Name,Relased Year,Rank,Metascore,Director
Glass Onion: A Knives Out Mystery,2022,1,93,Rian Johnson
Strange World,2022,2,74,"Don Hall, Qui Nguyen"
The Menu,2022,3,89,Mark Mylod
Black Panther: Wakanda Forever,2022,4,84,Ryan Coogler
Spirited,2022,5,70,Sean Anders
Bones and All,2022,6,82,Luca Guadagnino
The Guardians of the Galaxy Holiday Special,2022,7,92,James Gunn
The Wonder,2022,8,87,Sebastián Lelio
The Fabelmans,2022,9,91,Steven Spielberg
Devotion,2022,10,82,"J.D. Dillard, Erik Messerschmidt, Billy Fox, Deirdra Govan"
Stutz,2022,11,100,Jonah Hill
Black Adam,2022,12,39,Jaume Collet-Serra
Guillermo del Toro's Pinocchio,2022,13,97,"Guillermo del Toro, Mark Gustafson"
Slumberland,2022,14,37,Francis Lawrence
Disenchanted,2022,15,39,Adam Shankman
Don't Worry Darling,2022,16,38,Olivia Wilde
Barbarian,2022,17,92,Zach Cregger
A Christmas Story Christmas,2022,18,78,Clay Kaytis
Something In The Dirt,2022,19,90,"Justin Benson, Aaron Moorhead"
Where the Crawdads Sing,2022,20,34,Olivia Newman
She Said,2022,21,87,Maria Schrader
Smile,2022,22,79,Parker Finn
The Swimmers,2022,23,80,Sally El Hosaini
Nope,2022,24,82,Jordan Peele
Poker Face,2022,25,13,Russell Crowe
Descendant,2022,26,100,Margaret Brown
The Noel Diary,2022,27,77,Charles Shyer
Blood Relatives,2022,28,96,Noah Segan
All Quiet on the Western Front,2022,29,91,Edward Berger
The People We Hate at the Wedding,2022,30,34,Claire Scanlon
